city,country,total_courts,total_park_courts,densest_all,densest_all_lat,densest_all_lon,densest_park,densest_park_lat,densest_park_lon,error
Paris,FR,364,159,146,48.8506647,2.2693962,70,48.8634899,2.2577614,
Madrid,ES,828,69,127,40.4717373,-3.7518787,26,40.4960085,-3.6980638,
Barcelona,ES,226,15,138,41.397571,2.1152878,14,41.423474,2.1349103,
Berlin,DE,757,43,102,52.4848662,13.2577487,10,52.5683596,13.2019528,
Munich,DE,320,53,64,48.177662,11.5509203,27,48.177662,11.5509203,
Vienna,AT,582,19,135,48.1917105,16.4056871,7,48.2427687,16.4110004,
Amsterdam,NL,251,72,100,52.3470521,4.8673611,53,52.3404034,4.8521044,
Copenhagen,DK,78,1,40,55.7191307,12.5615181,1,55.6970988,12.5573077,
Stockholm,SE,60,15,10,59.340665,17.9059995,4,59.3500514,18.0942577,
Helsinki,FI,101,31,17,60.1761067,25.0547874,10,60.2123679,24.8777735,
Oslo,NO,146,8,66,59.9398686,10.7058265,3,59.9246305,10.6508259,
Buenos Aires,AR,418,33,194,-34.544675,-58.4374935,13,-34.5594709,-58.4968873,
Tokyo (23 wards),JP,1793,345,99,35.7308532,139.5750346,33,35.5316817,139.7300363,
Seoul,KR,482,115,43,37.6580553,127.0544946,13,37.6606848,127.0633986,
Melbourne,AU,2858,492,529,-37.7479429,145.1391498,35,-37.8377652,144.9791361,
Sydney,AU,1184,336,88,-33.8828758,151.2370858,27,-33.9347516,151.2351329,
New York City,US,1134,665,94,40.7374881,-73.845954,53,40.7968789,-73.9770594,
Boston,US,151,84,31,42.3508929,-71.1389878,18,42.3699228,-71.129464,
San Francisco,US,242,143,71,37.7364317,-122.4643028,50,37.7838885,-122.4515172,
Los Angeles,US,1315,345,128,34.0663473,-118.4904727,35,34.0677997,-118.4913681,
Chicago,US,612,450,55,41.8018325,-87.6094628,35,41.7977504,-87.5947067,
Toronto,CA,793,493,73,43.696961,-79.3994454,43,43.6931341,-79.382983,
Auckland,NZ,970,301,124,-36.8729599,174.7663111,40,-36.9037608,174.7702943,
Wellington,NZ,0,0,0,,,0,,,
Cape Town,ZA,0,0,0,,,0,,,
Singapore,SG,734,10,135,1.3084905,103.8268978,3,1.3407046,103.8115351,
Rome,IT,1289,198,212,41.9353516,12.4818662,42,41.974289,12.4649659,
Milan,IT,274,45,67,45.4715365,9.1230467,19,45.4800245,9.1037285,
Lisbon,PT,113,37,38,38.7490995,-9.1526428,19,38.7244963,-9.205039,
Brussels,BE,268,32,70,50.8268357,4.4411784,13,50.8181943,4.4344142,
Zurich,CH,205,3,71,47.3528726,8.5337398,2,47.3992946,8.5466754,
Dublin,IE,0,0,0,,,0,,,
