city,country,total_courts,total_public_park,densest_all,densest_public_park,densest_public_park_lat,densest_public_park_lon,land_km2,density_public_park_per_km2_land,has_boundary,has_water
Paris,FR,364,73,146,27,48.8331895,2.4400522,9.6,2.81,yes,yes
Madrid,ES,828,22,127,6,40.3834645,-3.6590716,17.12,0.35,yes,yes
Barcelona,ES,226,2,138,1,41.4143817,2.1359052,16.7,0.06,yes,yes
Berlin,DE,757,29,102,10,52.5683596,13.2019528,15.19,0.66,yes,yes
Munich,DE,320,9,64,8,48.0886939,11.5246392,15.79,0.51,yes,yes
Vienna,AT,582,18,135,7,48.2427687,16.4110004,13.57,0.52,yes,yes
Amsterdam,NL,251,8,100,2,52.3875508,4.8759658,12.63,0.16,yes,yes
Copenhagen,DK,78,1,40,1,55.6970988,12.5573077,16.55,0.06,yes,yes
Stockholm,SE,60,15,10,4,59.3500514,18.0942577,14.45,0.28,yes,yes
Helsinki,FI,101,22,17,10,60.2123679,24.8777735,15.86,0.63,yes,yes
Oslo,NO,146,8,66,3,59.9246305,10.6508259,12.65,0.24,yes,yes
Buenos Aires,AR,418,31,194,13,-34.5594709,-58.4968873,11.04,1.18,yes,yes
Tokyo (23 wards),JP,1793,255,98,18,35.7755702,139.6005705,17.14,1.05,no,yes
Seoul,KR,482,110,43,13,37.6606848,127.0633986,16.92,0.77,yes,yes
Melbourne,AU,2858,216,529,26,-37.8377652,144.9791361,16.31,1.59,no,yes
Sydney,AU,1184,289,88,27,-33.9347516,151.2351329,16.88,1.6,no,yes
New York City,US,1134,593,94,46,40.8124916,-73.913483,13.61,3.38,yes,yes
Boston,US,151,81,31,18,42.3699228,-71.129464,5.01,3.59,yes,yes
San Francisco,US,242,54,70,20,37.7365047,-122.464443,17.09,1.17,yes,yes
Los Angeles,US,1315,298,128,35,34.0677997,-118.4913681,17.01,2.06,yes,yes
Chicago,US,612,395,55,35,41.7977504,-87.5947067,13.16,2.66,yes,yes
Toronto,CA,793,464,73,32,43.76376,-79.3209037,17.1,1.87,yes,yes
Auckland,NZ,970,286,124,40,-36.8875904,174.7653556,17.15,2.33,no,yes
Wellington,NZ,0,0,0,0,,,17.15,0.0,yes,no
Cape Town,ZA,0,0,0,0,,,17.15,0.0,yes,no
Singapore,SG,734,10,135,3,1.3407046,103.8115351,16.45,0.18,yes,yes
Rome,IT,1289,109,211,26,41.87483,12.4361493,17.14,1.52,yes,yes
Milan,IT,274,13,66,5,45.5219254,9.1873435,13.24,0.38,yes,yes
Lisbon,PT,113,8,38,5,38.7295066,-9.20602,10.65,0.47,yes,yes
Brussels,BE,268,24,70,13,50.8181943,4.4344142,15.33,0.85,yes,yes
Zurich,CH,205,3,71,2,47.3992946,8.5466754,16.56,0.12,yes,yes
Dublin,IE,0,0,0,0,,,17.15,0.0,no,no
