city,country,has_boundary,densest_park,densest_all,disc_km2,park_land_km2,density_park_per_km2_disc,density_park_per_km2_land,density_all_per_km2_land
Paris,FR,yes,70,146,17.16,12.0,4.08,5.83,13.24
Madrid,ES,yes,26,127,17.16,17.15,1.52,1.52,7.43
Barcelona,ES,yes,14,138,17.16,15.04,0.82,0.93,9.77
Berlin,DE,yes,10,102,17.16,15.2,0.58,0.66,6.09
Munich,DE,yes,27,64,17.16,17.04,1.57,1.58,3.76
Vienna,AT,yes,7,135,17.16,13.57,0.41,0.52,8.0
Amsterdam,NL,yes,53,100,17.16,13.19,3.09,4.02,6.48
Copenhagen,DK,yes,1,40,17.16,16.55,0.06,0.06,3.67
Stockholm,SE,yes,4,10,17.16,14.45,0.23,0.28,0.75
Helsinki,FI,yes,10,17,17.16,15.86,0.58,0.63,1.0
Oslo,NO,yes,3,66,17.16,12.65,0.17,0.24,3.86
Buenos Aires,AR,yes,13,194,17.16,11.05,0.76,1.18,20.57
Tokyo (23 wards),JP,no (bbox),33,99,17.16,15.36,1.92,2.15,5.79
Seoul,KR,yes,13,43,17.16,16.92,0.76,0.77,2.54
Melbourne,AU,no (bbox),35,529,17.16,16.31,2.04,2.15,31.4
Sydney,AU,no (bbox),27,88,17.16,16.89,1.57,1.6,5.33
New York City,US,yes,53,94,17.16,11.34,3.09,4.67,5.48
Boston,US,yes,18,31,17.16,5.02,1.05,3.59,3.21
San Francisco,US,yes,50,71,17.16,17.12,2.91,2.92,4.15
Los Angeles,US,yes,35,128,17.16,17.02,2.04,2.06,7.58
Chicago,US,yes,35,55,17.16,13.16,2.04,2.66,3.29
Toronto,CA,yes,43,73,17.16,17.06,2.51,2.52,4.26
Auckland,NZ,no (bbox),40,124,17.16,17.13,2.33,2.34,7.23
Singapore,SG,yes,3,135,17.16,16.45,0.17,0.18,7.92
Rome,IT,yes,42,212,17.16,17.15,2.45,2.45,12.94
Milan,IT,yes,19,67,17.16,16.77,1.11,1.13,3.98
Lisbon,PT,yes,19,38,17.16,11.66,1.11,1.63,2.22
Brussels,BE,yes,13,70,17.16,15.33,0.76,0.85,4.6
Zurich,CH,yes,2,71,17.16,16.57,0.12,0.12,4.9
