rank,name,population,search_parts,osm_refs,centroid_lat,centroid_lon,bbox_south,bbox_west,bbox_north,bbox_east,notes
1,Greater London,9787426,"[""Greater London""]","[{""osm_type"": ""relation"", ""osm_id"": 175342, ""source"": ""manual_override"", ""search_name"": ""Greater London""}]",51.497014,-0.148267,51.277614,-0.516494,51.709356,0.307071,
2,Greater Manchester,2553379,"[""Greater Manchester""]","[{""osm_type"": ""relation"", ""osm_id"": 88084, ""source"": ""manual_override"", ""search_name"": ""Greater Manchester""}]",53.463932,-2.265630,53.322872,-2.736929,53.662673,-1.969344,
3,West Midlands,2440986,"[""West Midlands""]","[{""osm_type"": ""relation"", ""osm_id"": 57516, ""source"": ""manual_override"", ""search_name"": ""West Midlands""}]",52.274315,-1.575428,51.948972,-1.951828,52.685190,-1.197107,
4,West Yorkshire,1777934,"[""West Yorkshire""]","[{""osm_type"": ""relation"", ""osm_id"": 88079, ""source"": ""manual_override"", ""search_name"": ""West Yorkshire""}]",53.779539,-1.633067,53.544223,-2.128398,53.974388,-1.231863,
5,Greater Glasgow,957620,"[""Greater Glasgow""]","[{""osm_type"": ""relation"", ""osm_id"": 1906767, ""source"": ""manual_override"", ""search_name"": ""Greater Glasgow""}]",55.869212,-4.305717,55.793901,-4.395645,55.931347,-4.121594,
6,Liverpool,864122,"[""Liverpool""]","[{""osm_type"": ""relation"", ""osm_id"": 172987, ""source"": ""nominatim"", ""search_name"": ""Liverpool"", ""display_name"": ""Liverpool, Liverpool City Region, England, United Kingdom""}]",53.3933411,-2.9166389,53.3115427,-3.0191726,53.4749885,-2.8180003,
7,South Hampshire,855569,"[""Southampton"", ""Portsmouth"", ""Fareham"", ""Gosport"", ""Eastleigh"", ""Havant""]","[{""osm_type"": ""relation"", ""osm_id"": 127864, ""source"": ""nominatim"", ""search_name"": ""Southampton"", ""display_name"": ""Southampton, England, United Kingdom""}, {""osm_type"": ""relation"", ""osm_id"": 127167, ""source"": ""nominatim"", ""search_name"": ""Portsmouth"", ""display_name"": ""Portsmouth, England, United Kingdom""}, {""osm_type"": ""relation"", ""osm_id"": 127232, ""source"": ""nominatim"", ""search_name"": ""Fareham"", ""display_name"": ""Fareham, Hampshire, England, United Kingdom""}, {""osm_type"": ""relation"", ""osm_id"": 127211, ""source"": ""nominatim"", ""search_name"": ""Gosport"", ""display_name"": ""Gosport, Hampshire, England, United Kingdom""}, {""osm_type"": ""relation"", ""osm_id"": 12713273, ""source"": ""nominatim"", ""search_name"": ""Eastleigh"", ""display_name"": ""Eastleigh, Hampshire, England, United Kingdom""}, {""osm_type"": ""relation"", ""osm_id"": 127165, ""source"": ""nominatim"", ""search_name"": ""Havant"", ""display_name"": ""Havant, Hampshire, England, United Kingdom""}]",50.86024386666667,-1.1934179333333332,50.7498477,-1.479005,50.9756598,-0.9264657,
8,Tyneside,774891,"[""Newcastle upon Tyne"", ""Gateshead"", ""North Tyneside"", ""South Tyneside""]","[{""osm_type"": ""relation"", ""osm_id"": 142282, ""source"": ""nominatim"", ""search_name"": ""Newcastle upon Tyne"", ""display_name"": ""Newcastle upon Tyne, North East, England, United Kingdom""}, {""osm_type"": ""relation"", ""osm_id"": 140462, ""source"": ""nominatim"", ""search_name"": ""Gateshead"", ""display_name"": ""Gateshead, North East, England, United Kingdom""}, {""osm_type"": ""relation"", ""osm_id"": 142245, ""source"": ""nominatim"", ""search_name"": ""North Tyneside"", ""display_name"": ""North Tyneside, North East, England, United Kingdom""}, {""osm_type"": ""relation"", ""osm_id"": 140390, ""source"": ""nominatim"", ""search_name"": ""South Tyneside"", ""display_name"": ""South Tyneside, North East, England, United Kingdom""}]",54.97615425,-1.563826175,54.8777619,-1.8527169,55.0793823,-1.3516375,
9,Nottingham,729977,"[""Nottingham""]","[{""osm_type"": ""relation"", ""osm_id"": 123292, ""source"": ""nominatim"", ""search_name"": ""Nottingham"", ""display_name"": ""City of Nottingham, Nottinghamshire, East Midlands, England, United Kingdom""}]",52.9534193,-1.1496461,52.8890083,-1.246956,53.0186721,-1.0861189,
10,Sheffield,685368,"[""Sheffield""]","[{""osm_type"": ""relation"", ""osm_id"": 106956, ""source"": ""nominatim"", ""search_name"": ""Sheffield"", ""display_name"": ""Sheffield, South Yorkshire, England, United Kingdom""}]",53.3806626,-1.4702278,53.3045116,-1.8014715,53.5031042,-1.3246685,
