rank,name,population,club_n,nn1_club_m_median,other_clubs_within_500m_med,other_clubs_within_1km_med,other_clubs_within_2km_med,other_clubs_within_5km_med,pct_clubs_with_neighbour_2km,club_pairs_under_2km,clubs_per_hull_km2
1,Greater London,9787426,967,543,0,2,8,54,99.4,4916,0.58
2,Greater Manchester,2553379,214,885,0.0,1.0,3.0,15.0,91.6,340,0.2
3,West Midlands,2440986,236,829,0.0,1.0,2.0,10.0,81.4,243,0.1
4,West Yorkshire,1777934,279,880,0,1,2,13,89.6,410,0.15
5,Greater Glasgow,957620,30,580,0.0,1.0,6.0,16.0,93.3,88,0.44
6,Liverpool,864122,30,647,0.0,2.5,5.0,21.0,80.0,69,0.45
7,South Hampshire,855569,103,693,0,1,4,15,96.1,206,0.24
8,Tyneside,774891,68,752,0.0,1.0,2.0,12.0,85.3,123,0.2
9,Nottingham,729977,32,631,0.0,1.0,5.0,20.0,93.8,78,0.64
10,Sheffield,685368,65,753,0,1,5,29,95.4,186,0.31
11,Bristol,617280,37,601,0,1,7,25,97.3,114,0.54
12,Belfast,595879,54,619,0.0,1.0,3.5,17.0,94.4,105,0.27
13,Leicester,508916,106,840,0.0,1.0,2.0,14.0,83.0,150,0.17
14,Edinburgh,482270,65,559,0,1,4,26,90.8,195,0.36
15,Brighton and Hove,474485,25,583,0,1,8,18,96.0,78,0.64
16,Bournemouth/Poole,466266,49,884,0,1,4,16,89.8,89,0.34
17,Cardiff,447287,30,846,0.0,1.0,4.0,18.5,90.0,62,0.38
18,Teesside,376633,34,1689,0.0,0.0,1.0,5.0,61.8,18,0.08
19,Stoke-on-Trent,372775,17,1246,0,0,2,9,94.1,19,0.44
20,Coventry,359262,14,1406,0.0,0.0,2.5,10.0,85.7,17,0.42
21,Sunderland,335415,21,975,0,1,3,12,95.2,33,0.35
22,Birkenhead,325264,14,524,0.0,2.0,3.0,9.0,100.0,23,1.0
23,Reading,318014,30,602,0.0,1.5,7.0,26.0,96.7,104,1.01
24,Kingston upon Hull,314018,7,1333,0,0,1,3,85.7,3,0.27
25,Preston,313322,18,876,0.0,1.0,3.0,12.0,83.3,21,0.46
26,Newport,306844,20,889,0.0,0.5,3.0,14.0,90.0,29,0.41
27,Swansea,300352,28,1079,0.0,0.0,1.5,5.0,78.6,28,0.1
28,Southend-on-Sea,295310,18,890,0.0,1.0,3.5,13.0,100.0,33,0.85
