osm_type,osm_id,city_name,lat,lon,p_tennis,top_prompt_idx,is_tennis
way,980979872,Greater London,51.4371815,-0.3088534,0.9753,4,1
way,187826911,Greater London,51.6064079,-0.1743586,0.1176,10,0
way,143250155,West Yorkshire,53.9227612,-1.8152273,0.5255,10,1
way,1282852027,Greater Manchester,53.3892199,-2.1427014,0.4964,7,0
way,1189134057,Greater Manchester,53.4182222,-2.2594304,0.1925,10,0
way,1322858393,Greater London,51.4149522,-0.16282,0.5422,7,1
way,907307882,Greater London,51.5226372,-0.4258664,0.9738,4,1
way,1504186695,Colchester,51.9250229,0.8052161,0.3408,9,0
way,791855519,Greater London,51.39339,-0.288118,0.9967,4,1
way,4317039,Bedford,52.1403391,-0.478604,0.7495,4,1
way,159088621,Sunderland,54.9232907,-1.4009487,0.8091,4,1
way,225738045,Greater London,51.4089891,-0.2066083,0.9824,4,1
way,223313418,Greater London,51.3877133,-0.2501384,0.9577,1,1
way,826263722,Greater London,51.4405864,-0.1795654,0.0737,7,0
way,1076980089,Greater Manchester,53.4815481,-2.2623649,0.0463,10,0
way,1215970147,Greater Manchester,53.3895349,-2.2439912,0.7842,4,1
way,130047480,Cambridge,52.2088326,0.096071,0.9938,1,1
way,198753752,Greater London,51.621297,-0.2356515,0.7641,2,1
way,374868841,Chelmsford,51.7190974,0.4700157,0.0713,7,0
relation,3326129,Greater London,51.5721995,-0.3950557,0.7988,4,1
way,1480423849,Colchester,51.8668284,0.8911647,0.9918,1,1
way,232473474,Stoke-on-Trent,52.9713267,-2.1938538,0.4891,4,1
way,1157661160,Greater Manchester,53.3919619,-2.1404417,0.3114,7,0
way,1458135702,Luton,51.9184153,-0.4718555,0.9663,4,1
way,1328145151,Maidstone,51.1978951,0.6578567,0.6137,3,1
way,175350531,West Yorkshire,53.8941363,-1.4554214,0.8214,4,1
way,24777621,Greater London,51.354342,-0.1697197,0.9766,4,1
way,1370879380,Greater London,51.4379325,-0.2166737,0.2118,7,0
way,769403540,Sunderland,54.8959199,-1.546656,0.8545,3,1
way,243866468,Nottingham,52.9529678,-1.1618378,0.5923,7,1
way,159541081,West Yorkshire,53.765561,-1.5384518,0.3068,11,0
way,1367315297,Greater London,51.4155962,-0.2089008,0.7403,0,1
way,909705555,Greater Manchester,53.5056581,-2.4704875,0.4035,7,0
way,34917815,Nottingham,52.9345194,-1.1915505,0.9817,4,1
way,903352542,Greater London,51.6009555,-0.3939746,0.8809,3,1
way,826216172,Greater London,51.4471623,-0.1775767,0.9922,4,1
way,91156741,Edinburgh,55.9349662,-3.3404974,0.9281,4,1
way,852337609,Greater London,51.4782178,-0.2477556,0.3664,7,0
way,556003759,Belfast,54.5685297,-5.9755193,0.2146,7,0
way,202497381,Sheffield,53.4018033,-1.6526904,0.1778,9,0
way,749604663,West Midlands,52.298289,-1.3384552,0.6317,3,1
way,294344908,Greater London,51.3717112,0.0075493,0.3512,11,0
way,1188200103,Barnsley/Dearne Valley,53.5548095,-1.4727336,0.5027,4,1
way,1271992151,Accrington/Rossendale,53.6232287,-2.325216,0.9827,4,1
way,1150823451,Greater London,51.5866947,0.0524765,0.2771,10,0
way,1334552672,Leicester,52.5742538,-1.1587925,0.6707,3,1
way,662571326,Greater London,51.442452,-0.3339126,0.9461,4,1
way,392528959,Cheltenham,51.8928835,-2.1070118,0.7609,4,1
way,666478838,West Yorkshire,53.8380221,-1.5063159,0.9905,4,1
way,813673001,Belfast,54.6242,-5.9719264,0.0793,6,0
way,1094006631,Basingstoke,51.3586838,-1.25711,0.3598,3,1
way,1455331167,Greater London,51.5267414,-0.0705496,0.0192,10,0
way,519427805,Greater London,51.4815573,-0.0912631,0.937,3,1
way,316789387,Greater London,51.4345284,-0.2091556,0.4846,7,0
way,1197326210,Greater Manchester,53.3733943,-2.3201204,0.3486,11,0
way,471566177,West Yorkshire,53.9308548,-1.8356507,0.9639,4,1
way,662739243,Greater London,51.4634255,-0.2482762,0.3985,7,0
way,1215970150,Greater Manchester,53.3892939,-2.2439037,0.6073,7,1
way,888767345,Greater London,51.5313047,-0.4601302,0.485,7,0
way,93759626,Edinburgh,55.9191464,-3.2110739,0.9975,4,1
way,161930733,West Yorkshire,53.8835222,-1.7271057,0.2167,10,0
way,1462684368,Medway Towns,51.3872802,0.5310188,0.3694,5,0
way,1275837040,Belfast,54.6438812,-5.8087356,0.3849,7,0
way,1373332471,Greater London,51.4264348,-0.3169395,0.9613,4,1
way,233301980,Leicester,52.7419018,-1.187559,0.1846,11,0
way,35930217,Belfast,54.597199,-5.8297173,0.515,3,1
way,474901283,Greater Manchester,53.4848931,-2.5200126,0.8934,3,1
way,940987312,West Midlands,52.1593107,-1.510416,0.0614,11,0
way,531272170,Greater London,51.4194622,-0.2653379,0.5221,3,1
way,1385082530,Greater London,51.5046476,-0.2015119,0.2091,7,0
way,4494815,Accrington/Rossendale,53.7756588,-2.2313332,0.6413,4,1
way,1282852025,Greater Manchester,53.3890614,-2.143024,0.6286,7,1
way,1375590624,Greater London,51.5512142,-0.1634371,0.2561,11,0
way,934886431,Northampton,52.1912435,-0.8987659,0.3862,7,0
way,29253989,Edinburgh,55.9440702,-3.095966,0.0335,10,0
way,1368398342,West Midlands,52.0257884,-1.5820105,0.4096,7,0
way,312562758,Torquay/Paignton,50.3969093,-3.5592341,0.1344,7,0
way,1137909251,Greater Manchester,53.5354126,-2.1084875,0.9905,4,1
way,1051243163,South Hampshire,50.8524391,-1.0152471,0.5684,11,1
way,395048054,Greater London,51.6031523,-0.1331096,0.9963,4,1
way,1203429970,Greater Manchester,53.4246807,-2.2228221,0.4606,3,1
way,229289241,Greater London,51.5644415,-0.3361984,0.0373,11,0
way,113973342,South Hampshire,50.8527175,-0.9699036,0.6004,4,1
way,143509141,Bournemouth/Poole,50.7201215,-1.9704236,0.9893,4,1
way,1007147072,West Midlands,52.4471115,-1.3285601,0.1171,11,0
way,508483425,Greater London,51.5815827,-0.1890737,0.2576,7,0
way,559751012,Greater Manchester,53.4569439,-2.2241996,0.0835,11,0
way,1238708616,Chelmsford,51.6831729,0.435833,0.5428,3,1
way,32137634,South Hampshire,50.8307612,-1.0725135,0.1109,7,0
way,674261185,Greater Manchester,53.5421543,-2.3972458,0.8866,4,1
way,144389108,Peterborough,52.4579066,-0.2657207,0.6713,4,1
way,682956047,Brighton and Hove,50.8375499,-0.1544256,0.9774,4,1
way,758242739,Barnsley/Dearne Valley,53.5421355,-1.4921719,0.7641,3,1
way,1341036956,Greater London,51.3933284,-0.2544562,0.9557,4,1
way,793854578,West Midlands,52.3541596,-1.2342264,0.8851,3,1
way,1322858394,Greater London,51.4149628,-0.1626162,0.9317,0,1
way,1454130625,Greater Manchester,53.4625219,-2.1875743,0.1312,10,0
way,378883249,Chelmsford,51.7563454,0.5430811,0.2895,11,0
way,396034344,Colchester,51.8769877,0.8778895,0.5858,3,1
way,693079233,West Midlands,52.0402878,-1.6749232,0.3705,5,0
way,677161186,Maidstone,51.1725254,0.6354038,0.7366,3,1
way,894070455,Reading,51.4470561,-0.940753,0.43,10,0
way,121204476,Maidstone,51.2101994,0.4367116,0.0169,10,0
way,1421559806,Brighton and Hove,50.8331872,-0.1914856,0.1383,11,0
way,850531589,Belfast,54.580068,-5.8259478,0.0462,10,0
way,1120786473,Greater Manchester,53.3517987,-2.1609198,0.9694,3,1
way,1310654565,Greater London,51.5318962,0.0706747,0.8729,4,1
way,628359226,Cambridge,52.2065716,0.1029613,0.6743,3,1
way,1046199385,Oxford,51.7418412,-1.2163933,0.5505,3,1
way,818936176,Greater London,51.472418,-0.0005725,0.5096,10,1
way,338836024,Greater London,51.4767169,-0.2532239,0.9066,2,1
way,966042039,Greater London,51.4789299,0.0287083,0.7742,4,1
way,1364742097,Greater London,51.5562311,-0.2005706,0.1373,7,0
way,1371394550,Greater London,51.496304,-0.2299336,0.3608,7,0
way,185310955,Sunderland,54.8938147,-1.4040341,0.8935,4,1
way,99198784,Worcester,52.1873835,-2.2298151,0.9785,4,1
way,456432704,Greater London,51.6610268,-0.0771768,0.348,10,0
way,384304575,Edinburgh,55.8800313,-3.347653,0.1542,11,0
way,227354379,Edinburgh,55.9620726,-3.2261362,0.2696,7,0
way,1498139180,Bedford,52.0676487,-0.5131466,0.5689,3,1
way,1504182907,Aberdeen,57.1550365,-2.1250085,0.8878,4,1
way,627438321,High Wycombe,51.6373796,-0.7747799,0.9613,1,1
way,174269764,West Midlands,52.4993768,-1.7021553,0.9952,2,1
way,397701197,Cheltenham,51.8952998,-2.0915071,0.9184,3,1
way,48040107,Greater London,51.6147015,0.0272249,0.7509,7,1
way,1024496319,Greater London,51.5265925,-0.1266845,0.0509,10,0
way,397167558,Motherwell,55.9884538,-4.0040276,0.0104,10,0
way,932802281,West Midlands,52.3518012,-1.6113712,0.2011,5,0
way,229822017,Nottingham,52.9654122,-1.2128381,0.4679,4,1
way,990580270,Greater London,51.6004575,-0.0992684,0.9107,0,1
way,666478843,West Yorkshire,53.8383411,-1.5064194,0.9963,4,1
way,1160583580,Newport,51.5714979,-2.9617053,0.9279,4,1
way,1370859959,Greater London,51.435302,-0.2147845,0.9834,4,1
way,103392943,Blackpool,53.7835984,-3.048514,0.0856,11,0
way,14014520,Greater London,51.4632757,-0.1180028,0.9344,4,1
way,700795766,West Midlands,52.3665795,-1.2568397,0.9272,4,1
way,307220233,Peterborough,52.5182123,-0.091791,0.6493,3,1
way,1388498152,Greater London,51.6620843,-0.1007721,0.902,1,1
way,155166072,Cambridge,52.2142708,0.1066446,0.7147,4,1
way,918027422,Greater London,51.6133133,-0.0146288,0.3206,7,0
way,911497158,West Yorkshire,53.9268467,-1.3884437,0.9888,4,1
relation,14589816,Greater London,51.5598343,-0.4111275,0.4193,10,0
way,676621853,Leicester,52.5222185,-1.2876705,0.2027,11,0
way,1371661884,Greater London,51.4055349,-0.1174537,0.9054,4,1
way,396034361,Colchester,51.87851,0.8768576,0.994,4,1
way,28855790,Thanet,51.3618635,1.4333688,0.979,0,1
way,4566326,Greater London,51.5250542,-0.053326,0.7596,4,1
way,1048970768,South Hampshire,50.7820316,-1.067779,0.06,7,0
way,925971118,Oxford,51.7739115,-1.25645,0.3954,7,0
way,126239403,Greater London,51.5923665,-0.0200646,0.7417,1,1
way,995570776,Greater London,51.4696315,-0.2952162,0.2658,7,0
way,1188684220,Belfast,54.6574255,-5.8041902,0.1263,11,0
way,488310096,Greater Glasgow,55.8753381,-4.2799672,0.2504,7,0
way,1263490923,Greater Manchester,53.5867703,-2.0909654,0.8496,4,1
way,407864762,Greater London,51.4615607,-0.2248796,0.8567,4,1
way,1270851321,Greater Manchester,53.4204009,-2.2371827,0.0181,11,0
way,1359417768,Chelmsford,51.7446756,0.4692343,0.0498,7,0
way,661996670,Greater London,51.6155437,-0.2241763,0.6167,8,1
way,769025496,Greater London,51.4045493,-0.2170162,0.4141,7,0
way,924119408,Oxford,51.7403981,-1.2586839,0.4733,7,0
way,515072549,Greater London,51.6190124,-0.1351583,0.297,7,0
way,662568230,Thanet,51.3432351,1.416358,0.636,4,1
way,1168831426,Greater London,51.4826077,-0.1225461,0.5296,2,1
way,1193855296,Greater London,51.5144953,-0.0108656,0.7831,4,1
way,107859460,Ipswich,52.0617847,1.1543298,0.2076,10,0
way,1383057363,Exeter,50.6923989,-3.5107317,0.008,10,0
way,1381104205,Greater London,51.5064727,-0.1896408,0.3623,7,0
way,821096423,West Midlands,52.2026244,-1.5019455,0.3824,7,0
way,185808753,Hastings,50.8652443,0.5711356,0.9977,4,1
way,912699855,Sunderland,54.9134926,-1.5162862,0.9691,4,1
way,643517027,Greater Manchester,53.5454445,-2.6563238,0.8566,3,1
way,396034355,Colchester,51.8785647,0.8770346,0.994,4,1
way,159483501,Greater Manchester,53.6425159,-2.3115928,0.962,4,1
way,1062469139,Liverpool,53.3758479,-2.9202584,0.9271,3,1
way,1416507418,Brighton and Hove,50.8426895,-0.1613435,0.9699,4,1
way,527574659,Leicester,52.636409,-1.1794303,0.349,11,0
way,222070284,Swansea,51.7102676,-4.0366398,0.7341,7,1
way,617674128,York,54.0107428,-1.1201007,0.2043,7,0
way,120312974,Medway Towns,51.3598816,0.4985693,0.4876,10,0
way,1133304483,Greater London,51.4885132,-0.3399686,0.949,2,1
way,136506251,West Midlands,52.2928367,-1.5504469,0.5858,7,1
way,1192481986,Greater Manchester,53.3867688,-2.2275455,0.5671,3,1
way,469278179,Greater London,51.5851511,-0.2684267,0.9298,1,1
way,151915394,Nottingham,52.9055649,-1.1644726,0.9877,1,1
way,150465941,Greater London,51.4798976,-0.3543125,0.1476,10,0
way,1192233425,Maidstone,51.2243101,0.4326294,0.352,7,0
way,643181371,Cheltenham,51.8834122,-2.0654211,0.808,3,1
way,1206069653,Greater Manchester,53.4046862,-2.2819824,0.9933,4,1
way,1192233428,Maidstone,51.2379372,0.4539591,0.2812,11,0
way,1157661157,Greater Manchester,53.3916639,-2.1407871,0.4137,10,0
way,27230481,Greater London,51.4701043,-0.2223376,0.9572,4,1
