city,total_courts,total_park_courts,densest_all,densest_all_lat,densest_all_lon,densest_park,densest_park_lat,densest_park_lon,central_bh_all,central_bh_park,central_bh_lat,central_bh_lon
Aberdeen,36,6,20,57.1366043,-2.1376321,6,57.1549868,-2.1255498,,,,
Accrington/Rossendale,39,10,11,53.6186558,-2.2969326,2,53.7756588,-2.2313332,,,,
Barnsley/Dearne Valley,55,8,25,53.5496215,-1.4961677,3,53.5842113,-1.5295024,,,,
Basildon,39,5,23,51.6232946,0.402848,2,51.5660876,0.5103076,,,,
Basingstoke,182,4,24,51.3475888,-1.3924791,1,51.3247697,-1.2400637,,,,
Bedford,84,13,36,52.1489578,-0.4558946,8,52.1463964,-0.4644972,,,,
Belfast,136,17,37,54.6031232,-5.8611213,8,54.569101,-5.9748312,,,,
Birkenhead,37,4,26,53.3709633,-3.0337788,3,53.3554788,-3.0215828,,,,
Blackburn,17,7,17,53.7580124,-2.4958925,7,53.7580124,-2.4958925,,,,
Blackpool,21,11,9,53.7875509,-3.0415424,8,53.81282,-3.0241982,,,,
Bournemouth/Poole,134,25,60,50.7390397,-1.8665947,14,50.7390397,-1.8665947,,,,
Brighton and Hove,101,49,74,50.8386742,-0.146017,37,50.8386742,-0.146017,70,37,50.82567472879176,-0.15648477911952927
Bristol,74,22,40,51.4823277,-2.6037146,10,51.4849608,-2.5919869,,,,
Burnley,10,8,6,53.7756588,-2.2313332,6,53.7756588,-2.2313332,,,,
Burton-upon-Trent,16,2,12,52.8088252,-1.6168428,2,52.8106325,-1.6568428,,,,
Cambridge,106,12,86,52.1977741,0.1132478,9,52.1977741,0.1132478,,,,
Cardiff,104,29,47,51.4980058,-3.1979345,20,51.5008919,-3.1719807,,,,
Chelmsford,127,29,33,51.7228726,0.4642648,20,51.7228726,0.4642648,,,,
Cheltenham,82,9,69,51.896581,-2.0847703,9,51.8943417,-2.0811513,,,,
Chesterfield,14,1,12,53.2500844,-1.4451431,1,53.2229743,-1.4063136,,,,
Colchester,95,5,20,51.8965902,0.8700042,4,51.874785,0.9501611,,,,
Coventry,24,3,16,52.3954493,-1.5371496,3,52.3939661,-1.5216036,,,,
Crawley,10,4,5,51.1104346,-0.1818056,3,51.1056935,-0.1497425,,,,
Derby,66,13,33,52.902332,-1.4913364,5,52.9353571,-1.4752914,,,,
Doncaster,29,8,9,53.5186922,-1.1198314,7,53.5186922,-1.1198314,,,,
Dundee,28,11,11,56.4753661,-2.8721141,5,56.4845752,-3.037051,,,,
