city,total_courts,total_public_park,densest_public_park,densest_public_park_lat,densest_public_park_lon,densest_all,land_km2,density_public_park_per_km2_land,central_bh_all,central_bh_public_park,central_bh_land_km2,central_bh_density_per_km2_land
Aberdeen,36,6,6,57.1549868,-2.1255498,20,17.02,0.35,,,,
Accrington/Rossendale,39,10,2,53.7756588,-2.2313332,11,0.0,0,,,,
Barnsley/Dearne Valley,55,8,3,53.5842113,-1.5295024,25,15.1,0.2,,,,
Basildon,39,5,2,51.5660876,0.5103076,23,16.68,0.12,,,,
Basingstoke,182,4,1,51.3247697,-1.2400637,24,17.11,0.06,,,,
Bedford,84,13,8,52.1463964,-0.4644972,36,16.92,0.47,,,,
Belfast,136,17,8,54.569101,-5.9748312,37,17.11,0.47,,,,
Birkenhead,37,4,3,53.3554788,-3.0215828,26,17.15,0.17,,,,
Blackburn,17,7,7,53.7580124,-2.4958925,17,17.09,0.41,,,,
Blackpool,21,3,2,53.7835984,-3.048514,9,10.98,0.18,,,,
Bournemouth/Poole,134,25,14,50.7390397,-1.8665947,60,17.15,0.82,,,,
Brighton and Hove,101,45,37,50.8386742,-0.146017,74,16.73,2.21,70,37,10.9,3.39
Bristol,74,12,7,51.4738283,-2.5523029,40,16.81,0.42,,,,
Burnley,10,8,6,53.7756588,-2.2313332,6,17.05,0.35,,,,
Burton-upon-Trent,16,2,2,52.8106325,-1.6568428,12,17.02,0.12,,,,
Cambridge,106,12,9,52.1977741,0.1132478,86,14.34,0.63,,,,
Cardiff,104,16,8,51.4865618,-3.219044,47,15.45,0.52,,,,
Chelmsford,127,29,20,51.7228726,0.4642648,33,17.04,1.17,,,,
Cheltenham,82,9,9,51.8943417,-2.0811513,69,17.06,0.53,,,,
Chesterfield,14,1,1,53.2229743,-1.4063136,12,8.61,0.12,,,,
Colchester,95,1,1,51.9569605,0.9959626,20,9.44,0.11,,,,
Coventry,24,3,3,52.3939661,-1.5216036,16,16.54,0.18,,,,
Crawley,10,4,3,51.1056935,-0.1497425,5,9.18,0.33,,,,
Derby,66,13,5,52.9353571,-1.4752914,33,16.0,0.31,,,,
Doncaster,29,8,7,53.5186922,-1.1198314,9,16.73,0.42,,,,
Dundee,28,11,5,56.4845752,-3.037051,11,13.57,0.37,,,,
Eastbourne,23,5,3,50.770381,0.2733089,14,14.58,0.21,,,,
Edinburgh,173,18,7,55.9743011,-3.1948489,54,14.04,0.5,,,,
Exeter,42,12,9,50.7226476,-3.4979441,26,17.03,0.53,,,,
Farnborough/Aldershot,24,3,3,51.2493116,-0.7532559,16,12.48,0.24,,,,
Gloucester,34,5,4,51.8481675,-2.2490679,19,16.39,0.24,,,,
Greater Glasgow,71,22,6,55.8674616,-4.2876316,40,15.6,0.38,,,,
Greater London,2909,812,44,51.4824938,-0.1226152,173,15.23,2.89,,,,
Greater Manchester,581,182,14,53.4358185,-2.2678999,50,16.84,0.83,,,,
Grimsby,26,8,8,53.5607339,-0.0405676,24,17.1,0.47,,,,
Hastings,17,9,9,50.8542623,0.5686061,13,9.75,0.92,,,,
High Wycombe,18,1,1,51.6224885,-0.7368102,16,6.81,0.15,,,,
Ipswich,17,8,6,52.0645234,1.1537753,12,16.61,0.36,,,,
Kingston upon Hull,15,2,2,53.7390303,-0.4042328,8,12.21,0.16,,,,
Leicester,192,14,3,52.6177052,-1.1817754,40,17.06,0.18,,,,
Lincoln,13,0,0,,,7,17.15,0.0,,,,
Liverpool,65,17,16,53.3824213,-2.9411495,37,17.07,0.94,,,,
Luton,19,4,3,51.9028541,-0.4040597,11,12.86,0.23,,,,
Maidstone,111,13,6,51.2679834,0.5006001,18,15.99,0.38,,,,
Mansfield,42,12,9,53.1409401,-1.1703014,28,17.06,0.53,,,,
Medway Towns,45,3,1,51.3489807,0.5822519,21,14.99,0.07,,,,
Milton Keynes,42,3,1,51.9973468,-0.7427597,12,16.4,0.06,,,,
Motherwell,11,0,0,,,6,17.15,0.0,,,,
Newport,52,14,8,51.5805998,-3.0007084,28,16.91,0.47,,,,
Northampton,44,6,6,52.2339465,-0.8917836,21,16.52,0.36,,,,
Norwich,29,3,2,52.6449325,1.2872915,14,12.99,0.15,,,,
Nottingham,97,10,7,52.9348831,-1.2048734,67,10.02,0.7,,,,
Oxford,214,15,6,51.7537561,-1.2752332,141,10.92,0.55,,,,
Peterborough,89,12,7,52.5840319,-0.2335158,12,16.87,0.41,,,,
Plymouth,27,10,6,50.3925753,-4.1301218,15,17.13,0.35,,,,
Preston,34,3,2,53.7713686,-2.7327475,18,15.35,0.13,,,,
Reading,45,5,4,51.4456041,-0.9786094,19,16.58,0.24,,,,
Sheffield,116,22,10,53.3332125,-1.4743501,42,13.87,0.72,,,,
Slough,16,5,3,51.5036898,-0.5821122,8,10.69,0.28,,,,
South Hampshire,167,24,9,50.9199737,-1.4161947,22,16.8,0.54,,,,
Southend-on-Sea,41,9,5,51.54513,0.6769481,22,16.41,0.3,,,,
Stoke-on-Trent,21,12,8,53.0025466,-2.1554223,9,17.01,0.47,,,,
Sunderland,35,9,6,54.9135389,-1.5156324,13,16.56,0.36,,,,
Swansea,61,10,3,51.6130033,-3.963246,20,13.11,0.23,,,,
Swindon,78,14,14,51.5704204,-1.7833021,29,17.09,0.82,,,,
Teesside,70,13,5,54.613555,-1.0524927,16,9.84,0.51,,,,
Telford,4,2,1,52.695943,-2.4557647,2,16.97,0.06,,,,
Thanet,50,3,2,51.3829902,1.3711942,24,12.72,0.16,,,,
Torquay/Paignton,40,15,8,50.3963342,-3.5429561,20,15.81,0.51,,,,
Tyneside,154,57,15,54.984475,-1.4206548,31,15.78,0.95,,,,
Warrington,51,0,0,,,16,17.15,0.0,,,,
West Midlands,309,21,5,52.3679084,-1.2373111,58,17.04,0.29,,,,
West Yorkshire,505,94,8,53.7934326,-1.5626374,31,16.92,0.47,,,,
Wigan,36,8,4,53.4861298,-2.5269293,11,13.29,0.3,,,,
