city,densest_park,densest_all,disc_km2,park_land_km2,all_land_km2,density_park_per_km2_disc,density_park_per_km2_land,density_all_per_km2_disc,density_all_per_km2_land,central_bh_park,central_bh_all,central_bh_land_km2,central_bh_park_per_km2_land
Aberdeen,6,20,17.16,17.03,16.65,0.35,0.35,1.17,1.2,,,,
Accrington/Rossendale,2,11,17.16,0.0,2.84,0.12,0,0.64,3.88,,,,
Barnsley/Dearne Valley,3,25,17.16,15.11,17.1,0.17,0.2,1.46,1.46,,,,
Basildon,2,23,17.16,16.68,14.26,0.12,0.12,1.34,1.61,,,,
Basingstoke,1,24,17.16,17.11,17.11,0.06,0.06,1.4,1.4,,,,
Bedford,8,36,17.16,16.93,16.96,0.47,0.47,2.1,2.12,,,,
Belfast,8,37,17.16,17.11,16.94,0.47,0.47,2.16,2.18,,,,
Birkenhead,3,26,17.16,17.15,17.15,0.17,0.17,1.52,1.52,,,,
Blackburn,7,17,17.16,17.1,17.1,0.41,0.41,0.99,0.99,,,,
Blackpool,8,9,17.16,15.57,13.72,0.47,0.51,0.52,0.66,,,,
Bournemouth/Poole,14,60,17.16,17.15,17.15,0.82,0.82,3.5,3.5,,,,
Brighton and Hove,37,74,17.16,16.73,16.73,2.16,2.21,4.31,4.42,37,70,10.91,3.39
Bristol,10,40,17.16,16.67,17.14,0.58,0.6,2.33,2.33,,,,
Burnley,6,6,17.16,17.05,17.05,0.35,0.35,0.35,0.35,,,,
Burton-upon-Trent,2,12,17.16,17.02,16.78,0.12,0.12,0.7,0.71,,,,
Cambridge,9,86,17.16,14.34,14.34,0.52,0.63,5.01,6.0,,,,
Cardiff,20,47,17.16,16.89,16.82,1.17,1.18,2.74,2.8,,,,
Chelmsford,20,33,17.16,17.04,17.04,1.17,1.17,1.92,1.94,,,,
Cheltenham,9,69,17.16,17.06,17.1,0.52,0.53,4.02,4.04,,,,
Chesterfield,1,12,17.16,8.61,16.69,0.06,0.12,0.7,0.72,,,,
Colchester,4,20,17.16,13.53,17.07,0.23,0.3,1.17,1.17,,,,
Coventry,3,16,17.16,16.54,16.83,0.17,0.18,0.93,0.95,,,,
Crawley,3,5,17.16,9.18,17.04,0.17,0.33,0.29,0.29,,,,
Derby,5,33,17.16,16.01,17.08,0.29,0.31,1.92,1.93,,,,
Doncaster,7,9,17.16,16.73,16.73,0.41,0.42,0.52,0.54,,,,
Dundee,5,11,17.16,13.57,12.69,0.29,0.37,0.64,0.87,,,,
Eastbourne,3,14,17.16,14.58,14.58,0.17,0.21,0.82,0.96,,,,
Edinburgh,25,54,17.16,17.01,17.0,1.46,1.47,3.15,3.18,,,,
Exeter,9,26,17.16,17.03,17.03,0.52,0.53,1.52,1.53,,,,
Farnborough/Aldershot,3,16,17.16,12.48,12.48,0.17,0.24,0.93,1.28,,,,
Gloucester,4,19,17.16,16.39,9.58,0.23,0.24,1.11,1.98,,,,
Greater Glasgow,6,40,17.16,15.6,15.73,0.35,0.38,2.33,2.54,,,,
Greater London,48,173,17.16,15.73,13.56,2.8,3.05,10.08,12.76,,,,
Greater Manchester,14,50,17.16,16.84,16.42,0.82,0.83,2.91,3.04,,,,
Grimsby,8,24,17.16,17.11,17.1,0.47,0.47,1.4,1.4,,,,
Hastings,9,13,17.16,9.75,14.75,0.52,0.92,0.76,0.88,,,,
High Wycombe,1,16,17.16,6.81,11.93,0.06,0.15,0.93,1.34,,,,
Ipswich,6,12,17.16,16.61,11.93,0.35,0.36,0.7,1.01,,,,
Kingston upon Hull,2,8,17.16,12.21,14.87,0.12,0.16,0.47,0.54,,,,
Leicester,3,40,17.16,17.06,17.14,0.17,0.18,2.33,2.33,,,,
Liverpool,16,37,17.16,17.08,17.08,0.93,0.94,2.16,2.17,,,,
Luton,3,11,17.16,12.86,14.48,0.17,0.23,0.64,0.76,,,,
Maidstone,6,18,17.16,15.99,17.08,0.35,0.38,1.05,1.05,,,,
Mansfield,9,28,17.16,17.07,17.14,0.52,0.53,1.63,1.63,,,,
Medway Towns,1,21,17.16,14.99,16.86,0.06,0.07,1.22,1.25,,,,
Milton Keynes,1,12,17.16,16.4,16.01,0.06,0.06,0.7,0.75,,,,
Motherwell,1,6,17.16,10.55,16.69,0.06,0.09,0.35,0.36,,,,
Newport,8,28,17.16,16.92,16.97,0.47,0.47,1.63,1.65,,,,
Northampton,6,21,17.16,16.52,16.54,0.35,0.36,1.22,1.27,,,,
Norwich,2,14,17.16,12.99,13.85,0.12,0.15,0.82,1.01,,,,
Nottingham,7,67,17.16,10.02,17.05,0.41,0.7,3.9,3.93,,,,
Oxford,7,141,17.16,15.64,15.79,0.41,0.45,8.22,8.93,,,,
Peterborough,7,12,17.16,16.87,16.64,0.41,0.41,0.7,0.72,,,,
Plymouth,6,15,17.16,17.13,17.07,0.35,0.35,0.87,0.88,,,,
Preston,2,18,17.16,15.35,15.35,0.12,0.13,1.05,1.17,,,,
Reading,4,19,17.16,16.58,12.23,0.23,0.24,1.11,1.55,,,,
Sheffield,10,42,17.16,13.88,17.11,0.58,0.72,2.45,2.45,,,,
Slough,3,8,17.16,10.69,10.69,0.17,0.28,0.47,0.75,,,,
South Hampshire,9,22,17.16,16.8,16.03,0.52,0.54,1.28,1.37,,,,
Southend-on-Sea,5,22,17.16,16.41,14.9,0.29,0.3,1.28,1.48,,,,
Stoke-on-Trent,8,9,17.16,17.01,16.79,0.47,0.47,0.52,0.54,,,,
Sunderland,6,13,17.16,16.56,17.11,0.35,0.36,0.76,0.76,,,,
Swansea,3,20,17.16,13.11,16.84,0.17,0.23,1.17,1.19,,,,
Swindon,14,29,17.16,17.09,16.92,0.82,0.82,1.69,1.71,,,,
Teesside,5,16,17.16,9.84,16.42,0.29,0.51,0.93,0.97,,,,
Telford,1,2,17.16,16.97,16.94,0.06,0.06,0.12,0.12,,,,
Thanet,3,24,17.16,10.36,16.15,0.17,0.29,1.4,1.49,,,,
Torquay/Paignton,8,20,17.16,15.81,17.15,0.47,0.51,1.17,1.17,,,,
Tyneside,15,31,17.16,15.78,17.13,0.87,0.95,1.81,1.81,,,,
West Midlands,14,58,17.16,16.77,16.61,0.82,0.83,3.38,3.49,,,,
West Yorkshire,8,31,17.16,16.93,17.14,0.47,0.47,1.81,1.81,,,,
Wigan,4,11,17.16,13.29,12.76,0.23,0.3,0.64,0.86,,,,
Worcester,3,16,17.16,15.43,15.43,0.17,0.19,0.93,1.04,,,,
York,7,24,17.16,16.76,16.76,0.41,0.42,1.4,1.43,,,,
