rank,name,population,n_courts,hull_km2,samples,pct_hull_within_500m,pct_hull_within_1km,pct_hull_within_2km,median_distance_m,mean_distance_m
1,Greater London,9787426,2909,1660.62,4000,32.6,72.9,94.0,675,839
2,Greater Manchester,2553379,581,1066.12,4000,13.9,41.2,79.7,1188,1354
3,West Midlands,2440986,309,2331.38,4000,7.0,22.1,56.3,1779,2143
4,West Yorkshire,1777934,505,1898.67,4000,11.0,32.4,71.6,1403,1599
5,Greater Glasgow,957620,71,68.64,4000,22.4,51.2,88.8,969,1086
6,Liverpool,864122,65,63.11,4000,23.7,55.3,97.1,922,944
7,South Hampshire,855569,167,438.4,4000,14.0,39.6,70.3,1258,1699
8,Tyneside,774891,154,339.45,4000,12.4,36.9,79.0,1272,1398
9,Nottingham,729977,97,49.89,4000,32.7,79.2,100.0,670,706
10,Sheffield,685368,116,208.77,4000,18.4,46.1,79.0,1114,1272
11,Bristol,617280,74,68.3,4000,27.1,66.5,98.5,767,831
12,Belfast,595879,136,197.8,4000,15.1,41.8,81.0,1161,1274
13,Leicester,508916,192,627.65,4000,9.8,31.3,72.2,1369,1540
14,Edinburgh,482270,173,181.13,4000,20.8,52.2,94.3,969,1027
15,Brighton and Hove,474485,101,39.32,4000,33.0,72.3,98.9,684,771
16,Bournemouth/Poole,466266,134,142.63,4000,22.4,57.2,93.8,888,989
17,Cardiff,447287,104,81.05,4000,23.1,59.2,92.2,852,991
18,Teesside,376633,70,432.05,4000,4.5,17.8,50.1,1996,2206
19,Stoke-on-Trent,372775,21,38.85,4000,19.1,60.8,98.6,868,921
20,Coventry,359262,24,23.09,4000,28.2,79.2,100.0,721,733
21,Sunderland,335415,35,59.94,4000,18.6,49.4,81.2,1008,1219
22,Birkenhead,325264,37,14.21,4000,34.7,80.0,100.0,664,690
23,Reading,318014,45,29.23,4000,48.2,92.2,100.0,513,545
24,Kingston upon Hull,314018,15,26.13,4000,10.9,33.2,72.9,1375,1463
25,Preston,313322,34,38.99,4000,24.6,66.6,100.0,803,823
26,Newport,306844,52,48.56,4000,24.5,60.0,96.7,845,916
27,Swansea,300352,61,280.9,4000,5.6,17.3,51.9,1941,2089
28,Southend-on-Sea,295310,41,21.32,4000,34.6,87.5,100.0,634,643
29,Derby,270468,66,39.09,4000,27.2,72.2,100.0,756,758
30,Plymouth,260203,27,45.77,4000,18.2,52.8,93.5,960,1020
31,Luton,258018,19,26.36,4000,18.6,53.7,94.7,936,1003
32,Farnborough/Aldershot,252397,24,8.68,4000,31.2,66.8,100.0,745,810
33,Medway Towns,243931,45,113.73,4000,12.8,38.5,80.5,1202,1333
34,Blackpool,239409,21,14.21,4000,17.4,52.5,100.0,966,937
35,Milton Keynes,229941,42,90.77,4000,19.5,58.8,98.9,891,922
36,Barnsley/Dearne Valley,223281,55,129.19,4000,13.6,39.2,80.8,1216,1302
37,Northampton,215963,44,41.35,4000,20.8,65.4,99.9,833,849
38,Norwich,213166,29,27.48,4000,30.4,72.1,98.4,694,775
39,Aberdeen,208190,36,70.67,4000,21.4,59.2,92.4,858,1009
40,Swindon,185609,78,148.01,4000,16.6,52.1,88.8,970,1121
41,Crawley,180508,10,17.86,4000,24.1,72.5,98.2,776,825
42,Ipswich,178835,17,14.07,4000,20.9,62.7,99.1,827,869
43,Wigan,175405,36,100.47,4000,6.9,18.6,48.8,2037,2194
44,Mansfield,171958,42,15.19,4000,34.9,86.2,100.0,637,643
45,Oxford,171380,214,28.17,4000,65.6,97.7,100.0,387,424
46,Warrington,165456,51,99.55,4000,10.2,33.7,80.9,1294,1352
47,Slough,163777,16,23.61,4000,26.8,77.2,100.0,729,747
48,Peterborough,163379,89,577.55,4000,5.6,20.0,56.1,1814,1995
49,Cambridge,158434,106,24.67,4000,63.7,94.5,100.0,402,455
50,Doncaster,158141,29,278.69,4000,4.1,15.4,45.3,2165,2322
51,Dundee,157550,28,28.15,4000,22.9,65.1,100.0,813,848
52,York,153717,67,169.54,4000,16.0,41.8,79.6,1182,1339
53,Gloucester,150053,34,20.47,4000,24.3,64.3,100.0,807,832
54,Burnley,149422,10,14.7,4000,18.2,70.4,100.0,801,807
55,Telford,147980,4,,,,,,,
56,Blackburn,146521,17,1.78,4000,62.8,100.0,100.0,413,432
57,Basildon,144859,39,69.44,4000,12.8,39.8,83.2,1192,1270
58,Grimsby,134160,26,10.51,4000,38.6,81.4,100.0,613,649
59,Hastings,133422,17,10.13,4000,33.0,79.9,100.0,652,679
60,High Wycombe,133204,18,8.11,4000,35.8,83.0,100.0,652,652
61,Thanet,125370,50,65.16,4000,21.9,56.2,94.3,900,973
62,Accrington/Rossendale,125059,39,222.46,4000,6.5,22.3,58.7,1768,1851
63,Motherwell,124540,11,97.01,4000,3.3,13.2,33.3,2787,2699
64,Burton-upon-Trent,122199,16,7.13,4000,39.9,90.7,100.0,588,596
65,Colchester,121859,95,317.62,4000,13.5,41.3,82.7,1150,1290
66,Eastbourne,118219,23,8.13,4000,41.9,75.2,100.0,625,663
67,Exeter,117763,42,27.88,4000,39.0,88.3,100.0,605,613
68,Cheltenham,116447,82,26.1,4000,51.1,92.5,100.0,491,527
69,Torquay/Paignton,115410,40,63.26,4000,20.7,55.4,90.1,917,1064
70,Lincoln,114879,13,0.31,4000,41.7,64.9,100.0,685,757
71,Chesterfield,113057,14,7.62,4000,35.5,81.0,100.0,626,669
72,Chelmsford,111511,127,272.15,4000,13.8,39.2,79.6,1220,1354
73,Basingstoke,107642,182,568.31,4000,17.1,44.6,82.3,1085,1291
74,Maidstone,107627,111,322.36,4000,19.3,49.0,82.6,1024,1249
75,Bedford,106940,84,376.75,4000,7.8,25.6,67.2,1559,1684
76,Worcester,101659,18,8.24,4000,32.5,84.2,100.0,652,676
