rank,name,population,lsoa_n,pop_in_bbox,pct_pop_within_500m,pct_pop_within_1km,pct_pop_within_2km,median_distance_m,mean_distance_m
1,Greater London,9787426,5549,10249200,35.1,77.1,89.3,625,1120
2,Greater Manchester,2553379,2011,3400007,17.3,46.7,76.2,1072,2186
3,West Midlands,2440986,1606,2822651,5.1,11.5,20.6,5261,6101
4,West Yorkshire,1777934,1580,2667179,18.3,49.2,79.5,1012,1810
5,Greater Glasgow,957620,963,742204,11.9,32.7,57.3,1663,2094
6,Liverpool,864122,434,709963,11.6,34.1,64.7,1397,1801
7,South Hampshire,855569,618,1035995,20.6,54.5,77.7,921,1610
8,Tyneside,774891,703,1122647,13.7,39.0,71.0,1272,1769
9,Nottingham,729977,298,524361,16.5,46.2,81.0,1063,1303
10,Sheffield,685368,447,753880,19.1,48.0,70.3,1047,1994
11,Bristol,617280,318,573418,21.4,50.8,80.7,966,1416
12,Belfast,595879,1110,526081,18.0,47.6,82.9,1039,1302
13,Leicester,508916,415,753279,21.5,55.4,93.1,904,1019
14,Edinburgh,482270,671,513942,24.1,62.2,89.3,836,1267
15,Brighton and Hove,474485,176,308606,32.9,70.0,90.9,720,905
16,Bournemouth/Poole,466266,268,454017,23.0,61.5,87.1,770,1063
17,Cardiff,447287,279,478142,15.5,44.3,70.6,1097,2239
18,Teesside,376633,368,594114,10.1,36.5,73.4,1274,1739
19,Stoke-on-Trent,372775,208,332721,12.2,38.1,74.3,1244,1531
20,Coventry,359262,201,390405,9.6,44.8,77.9,1070,1389
21,Sunderland,335415,223,333996,13.9,44.2,68.1,1138,1851
22,Birkenhead,325264,94,157374,20.5,52.7,84.6,853,1264
23,Reading,318014,121,199837,38.9,80.3,96.5,638,740
24,Kingston upon Hull,314018,177,275364,5.1,26.4,76.1,1406,1530
25,Preston,313322,98,164679,14.2,48.9,83.6,1055,1455
26,Newport,306844,140,230694,20.9,43.0,65.3,1278,1926
27,Swansea,300352,201,340836,10.2,26.2,53.7,1810,2693
28,Southend-on-Sea,295310,114,193784,20.6,74.6,96.0,751,840
29,Derby,270468,158,273553,16.9,51.5,87.8,975,1114
30,Plymouth,260203,168,273581,18.3,52.9,92.0,936,1057
31,Luton,258018,133,237382,11.7,42.8,89.7,1114,1172
32,Farnborough/Aldershot,252397,84,135318,14.4,40.9,87.9,1129,1173
33,Medway Towns,243931,177,304140,17.4,56.3,86.9,915,1189
34,Blackpool,239409,115,172235,11.4,38.4,83.2,1182,1348
35,Milton Keynes,229941,145,259411,19.5,54.8,92.5,933,1029
36,Barnsley/Dearne Valley,223281,291,473096,10.5,24.0,40.3,3426,3971
37,Northampton,215963,137,231603,13.0,56.3,89.9,930,1106
38,Norwich,213166,148,251760,17.0,54.3,76.5,964,1921
39,Aberdeen,208190,313,236121,18.8,56.6,84.2,890,1424
40,Swindon,185609,141,236899,27.7,72.4,94.5,756,946
41,Crawley,180508,68,116409,21.9,72.2,97.9,766,856
42,Ipswich,178835,92,146887,11.6,51.8,88.6,965,1126
43,Wigan,175405,392,639746,4.8,16.3,35.4,3210,3510
44,Mansfield,171958,94,160918,19.9,42.7,61.5,1180,2002
45,Oxford,171380,91,164345,50.0,81.1,99.1,479,658
46,Warrington,165456,197,324483,6.6,24.6,54.9,1811,2402
47,Slough,163777,112,206393,18.4,55.0,78.1,903,1306
48,Peterborough,163379,155,272882,23.4,56.6,88.0,930,1142
49,Cambridge,158434,76,137281,46.5,79.3,95.9,517,707
50,Doncaster,158141,320,512788,8.7,21.1,37.3,2752,3550
51,Dundee,157550,204,154114,20.0,51.0,87.6,982,1112
52,York,153717,124,218835,42.0,75.1,94.5,648,900
53,Gloucester,150053,88,151649,21.4,53.5,97.9,965,959
54,Burnley,149422,70,105840,14.4,56.2,83.5,913,1440
55,Telford,147980,55,,,,,,
56,Blackburn,146521,67,115571,7.9,39.4,77.0,1272,1431
57,Basildon,144859,133,226118,9.1,39.1,81.2,1248,1432
58,Grimsby,134160,62,95031,17.5,57.1,95.2,920,974
59,Hastings,133422,56,97604,24.1,68.7,95.3,726,873
60,High Wycombe,133204,35,62738,26.6,80.0,100.0,726,695
61,Thanet,125370,84,141458,33.4,78.6,96.7,591,726
62,Accrington/Rossendale,125059,161,252656,14.7,43.4,70.8,1176,2164
63,Motherwell,124540,355,269190,2.4,13.0,34.8,2474,2686
64,Burton-upon-Trent,122199,43,75329,23.6,68.7,93.5,746,895
65,Colchester,121859,121,224398,10.8,37.8,80.8,1265,1378
66,Eastbourne,118219,65,109260,24.7,50.1,79.9,994,1180
67,Exeter,117763,77,138496,40.4,82.8,96.3,643,689
68,Cheltenham,116447,78,123404,37.8,86.9,94.0,590,696
69,Torquay/Paignton,115410,96,148382,27.0,73.6,91.8,683,909
70,Lincoln,114879,67,116403,6.6,17.7,54.1,1952,1901
71,Chesterfield,113057,81,123471,16.3,41.6,58.0,1218,2409
72,Chelmsford,111511,175,288179,24.0,48.8,65.1,1002,2229
73,Basingstoke,107642,139,231843,17.9,40.0,80.1,1227,1838
74,Maidstone,107627,162,288950,15.9,43.2,57.3,1103,2448
75,Bedford,106940,186,329136,12.4,29.5,49.0,2446,3108
76,Worcester,101659,66,106050,11.3,50.7,86.1,996,1182
