rank,name,population,n_courts,nn1_m_median,nn5_m_median,pct_within_500m,pct_within_1km,mean_pair_km,convex_hull_km2,courts_per_hull_km2
1,Greater London,9787426,2909,15.159862371856967,205.0934532958001,92.2,97.3,17.04,1660.62,1.75
2,Greater Manchester,2553379,581,14.648253870228105,821.407580505555,88.8,94.1,15.5,1066.12,0.54
3,West Midlands,2440986,309,447.7721857038085,3000.553521387724,52.8,69.3,22.58,2331.38,0.13
4,West Yorkshire,1777934,505,30.617218241315708,1498.2143354718617,70.5,85.5,19.44,1898.67,0.27
5,Greater Glasgow,957620,71,15.195578433114882,694.7629632264824,87.3,94.4,4.52,68.64,1.03
6,Liverpool,864122,65,16.282420800316064,359.42566192209875,83.1,93.8,3.54,63.11,1.03
7,South Hampshire,855569,167,48.74824443602288,1319.6116555589144,70.7,82.0,14.92,438.4,0.38
8,Tyneside,774891,154,16.278457372689218,963.5409131659558,81.8,90.9,10.14,339.45,0.45
9,Nottingham,729977,97,24.014877657436994,121.36947362246298,85.6,94.8,3.3,49.89,1.94
10,Sheffield,685368,116,34.949157778564285,904.191274048472,69.0,87.1,6.2,208.77,0.56
11,Bristol,617280,74,29.258094728336502,1180.2073278404307,86.5,90.5,4.03,68.3,1.08
12,Belfast,595879,136,14.843475682146803,655.6105429791966,89.0,92.6,6.93,197.8,0.69
13,Leicester,508916,192,35.87247561147986,1206.6130059205477,69.3,82.8,11.79,627.65,0.31
14,Edinburgh,482270,173,14.58556339872823,555.822452179412,87.9,93.1,5.9,181.13,0.96
15,Brighton and Hove,474485,101,14.05318485227862,60.39780122527577,96.0,98.0,3.11,39.32,2.57
16,Bournemouth/Poole,466266,134,16.556232838738207,700.4544140735309,83.6,93.3,6.14,142.63,0.94
17,Cardiff,447287,104,14.660993742321562,670.5343696376265,94.2,96.2,4.5,81.05,1.28
18,Teesside,376633,70,15.236925129576425,3194.723810375627,77.1,77.1,12.98,432.05,0.16
19,Stoke-on-Trent,372775,21,392.49384128050514,2642.1538193966535,57.1,61.9,4.57,38.85,0.54
20,Coventry,359262,24,36.55303649612347,1230.4124891024708,66.7,70.8,2.69,23.09,1.04
21,Sunderland,335415,35,39.56146150483488,1743.9345036446268,62.9,88.6,5.65,59.94,0.58
22,Birkenhead,325264,37,20.062090322861373,108.45243602015171,89.2,94.6,3.61,14.21,2.6
23,Reading,318014,45,38.90021097440693,1059.9201531028007,66.7,91.1,3.29,29.23,1.54
24,Kingston upon Hull,314018,15,36.64093256152391,1857.4449022205629,80.0,80.0,3.65,26.13,0.57
25,Preston,313322,34,18.596941713705352,858.8684709821322,61.8,85.3,3.43,38.99,0.87
26,Newport,306844,52,15.27245831479296,62.21391316523436,82.7,88.5,3.38,48.56,1.07
27,Swansea,300352,61,16.00490556372542,997.9563944812012,78.7,82.0,7.85,280.9,0.22
28,Southend-on-Sea,295310,41,15.25489373648873,1543.9250236769258,75.6,90.2,3.81,21.32,1.92
29,Derby,270468,66,14.73641464032662,101.6492041151207,92.4,93.9,3.73,39.09,1.69
30,Plymouth,260203,27,45.57947381797746,2179.594953489746,70.4,85.2,3.87,45.77,0.59
31,Luton,258018,19,35.98185323794727,2435.238632211093,68.4,78.9,3.44,26.36,0.72
32,Farnborough/Aldershot,252397,24,25.525014202192697,764.7544955260526,87.5,100.0,3.0,8.68,2.77
33,Medway Towns,243931,45,35.935219332400635,1376.0963005795738,62.2,77.8,4.55,113.73,0.4
34,Blackpool,239409,21,14.558376150088858,49.26820369420155,81.0,95.2,3.06,14.21,1.48
35,Milton Keynes,229941,42,71.98816598317845,2237.082852188771,52.4,64.3,5.75,90.77,0.46
36,Barnsley/Dearne Valley,223281,55,37.271950583421166,1626.8819088228888,69.1,89.1,6.1,129.19,0.43
37,Northampton,215963,44,19.60209733149792,106.14433948082953,81.8,84.1,3.69,41.35,1.06
38,Norwich,213166,29,38.1997104948848,1200.3973370356011,72.4,82.8,2.97,27.48,1.06
39,Aberdeen,208190,36,615.898770488799,1894.4503297152987,47.2,69.4,4.5,70.67,0.51
40,Swindon,185609,78,17.685998038357504,1542.227558226678,73.1,82.1,6.02,148.01,0.53
41,Crawley,180508,10,1159.1663021441454,4143.734679967513,0.0,50.0,3.57,17.86,0.56
42,Ipswich,178835,17,51.875375073604516,1458.582857293584,82.4,82.4,2.8,14.07,1.21
43,Wigan,175405,36,14.648253870228105,1245.9135181351269,80.6,88.9,7.9,100.47,0.36
44,Mansfield,171958,42,17.07602655584468,67.69604936330146,92.9,97.6,2.4,15.19,2.76
45,Oxford,171380,214,14.563063450187709,132.3355863909129,99.1,100.0,2.85,28.17,7.6
46,Warrington,165456,51,14.594295151248529,85.22229948060748,80.4,82.4,5.92,99.55,0.51
47,Slough,163777,16,1050.1613246025113,2224.440082313584,37.5,50.0,3.83,23.61,0.68
48,Peterborough,163379,89,162.38815364890587,2206.480355501675,62.9,66.3,12.64,577.55,0.15
49,Cambridge,158434,106,15.148546658374816,388.51139719015976,92.5,99.1,2.3,24.67,4.3
50,Doncaster,158141,29,522.4599635690666,5751.135305208946,48.3,62.1,9.22,278.69,0.1
51,Dundee,157550,28,15.80085242330944,1766.3378976828826,75.0,89.3,5.59,28.15,0.99
