rank,name,population,courts,clubs,courts_per_100k,clubs_per_100k,public_clubs,public_courts,members_clubs,members_courts,private_clubs,private_courts
1,Greater London,9787426,2883,967,29.46,9.88,967,2883,0,0,161,411
2,Greater Manchester,2553379,590,214,23.11,8.38,214,590,0,0,74,204
3,West Midlands,2440986,311,236,12.74,9.67,236,311,0,0,80,82
4,West Yorkshire,1777934,500,279,28.12,15.69,279,500,0,0,42,63
5,Greater Glasgow,957620,71,30,7.41,3.13,30,71,1,2,0,0
6,Liverpool,864122,67,30,7.75,3.47,30,67,0,0,5,11
7,South Hampshire,855569,167,103,19.52,12.04,103,167,0,0,17,32
8,Tyneside,774891,156,68,20.13,8.78,68,156,0,0,3,3
9,Nottingham,729977,97,32,13.29,4.38,32,97,0,0,3,7
10,Sheffield,685368,118,65,17.22,9.48,65,118,0,0,5,5
11,Bristol,617280,72,37,11.66,5.99,37,72,0,0,12,19
12,Belfast,595879,139,54,23.33,9.06,54,139,0,0,45,58
13,Leicester,508916,192,106,37.73,20.83,106,192,0,0,12,12
14,Edinburgh,482270,175,65,36.29,13.48,65,175,0,0,31,39
15,Brighton and Hove,474485,98,25,20.65,5.27,25,98,0,0,9,22
16,Bournemouth/Poole,466266,134,49,28.74,10.51,49,134,0,0,4,4
17,Cardiff,447287,103,30,23.03,6.71,30,103,0,0,1,5
18,Teesside,376633,72,34,19.12,9.03,34,72,0,0,1,4
19,Stoke-on-Trent,372775,21,17,5.63,4.56,17,21,0,0,0,0
20,Coventry,359262,26,14,7.24,3.9,14,26,0,0,2,2
21,Sunderland,335415,37,21,11.03,6.26,21,37,0,0,1,1
22,Birkenhead,325264,37,14,11.38,4.3,14,37,0,0,0,0
23,Reading,318014,47,30,14.78,9.43,30,47,0,0,0,0
24,Kingston upon Hull,314018,15,7,4.78,2.23,7,15,0,0,0,0
25,Preston,313322,39,18,12.45,5.74,18,39,0,0,1,1
26,Newport,306844,52,20,16.95,6.52,20,52,0,0,8,13
27,Swansea,300352,61,28,20.31,9.32,28,61,0,0,2,2
28,Southend-on-Sea,295310,43,18,14.56,6.1,18,43,0,0,0,0
29,Derby,270468,66,20,24.4,7.39,20,66,0,0,0,0
30,Plymouth,260203,27,18,10.38,6.92,18,27,0,0,1,2
31,Luton,258018,19,12,7.36,4.65,12,19,0,0,1,1
32,Farnborough/Aldershot,252397,24,9,9.51,3.57,9,24,0,0,1,1
33,Medway Towns,243931,47,26,19.27,10.66,26,47,0,0,1,1
34,Blackpool,239409,21,7,8.77,2.92,7,21,0,0,0,0
35,Milton Keynes,229941,46,29,20.01,12.61,29,46,0,0,0,0
36,Barnsley/Dearne Valley,223281,55,32,24.63,14.33,32,55,0,0,3,3
37,Northampton,215963,44,16,20.37,7.41,16,44,0,0,0,0
38,Norwich,213166,29,18,13.6,8.44,18,29,0,0,3,3
39,Aberdeen,208190,38,28,18.25,13.45,28,38,0,0,4,4
40,Swindon,185609,79,40,42.56,21.55,40,79,0,0,17,23
41,Crawley,180508,10,10,5.54,5.54,10,10,0,0,0,0
42,Ipswich,178835,19,10,10.62,5.59,10,19,0,0,2,2
43,Wigan,175405,36,15,20.52,8.55,15,36,0,0,1,1
44,Mansfield,171958,42,11,24.42,6.4,11,42,0,0,0,0
45,Oxford,171380,214,50,124.87,29.17,50,214,0,0,4,4
46,Warrington,165456,55,20,33.24,12.09,20,55,0,0,4,4
47,Slough,163777,16,14,9.77,8.55,14,16,0,0,0,0
48,Peterborough,163379,88,58,53.86,35.5,58,88,0,0,3,4
49,Cambridge,158434,113,46,71.32,29.03,46,113,0,0,6,13
50,Doncaster,158141,29,23,18.34,14.54,23,29,0,0,0,0
51,Dundee,157550,28,14,17.77,8.89,14,28,0,0,1,4
52,York,153717,67,48,43.59,31.23,48,67,0,0,3,3
53,Gloucester,150053,34,15,22.66,10.0,15,34,0,0,1,1
54,Burnley,149422,10,7,6.69,4.68,7,10,0,0,0,0
55,Telford,147980,4,4,2.7,2.7,4,4,0,0,1,1
56,Blackburn,146521,17,5,11.6,3.41,5,17,0,0,0,0
57,Basildon,144859,39,18,26.92,12.43,18,39,0,0,1,2
58,Grimsby,134160,30,11,22.36,8.2,11,30,0,0,0,0
59,Hastings,133422,17,9,12.74,6.75,9,17,0,0,2,2
60,High Wycombe,133204,18,9,13.51,6.76,9,18,0,0,4,8
61,Thanet,125370,49,29,39.08,23.13,29,49,0,0,8,13
62,Accrington/Rossendale,125059,39,23,31.19,18.39,23,39,0,0,1,1
63,Motherwell,124540,11,8,8.83,6.42,8,11,0,0,0,0
64,Burton-upon-Trent,122199,16,10,13.09,8.18,10,16,0,0,0,0
65,Colchester,121859,97,74,79.6,60.73,74,97,0,0,25,28
66,Eastbourne,118219,23,14,19.46,11.84,14,23,0,0,0,0
67,Exeter,117763,42,22,35.66,18.68,22,42,0,0,2,2
68,Cheltenham,116447,82,29,70.42,24.9,29,82,0,0,3,8
69,Torquay/Paignton,115410,40,26,34.66,22.53,26,40,0,0,1,1
70,Lincoln,114879,15,4,13.06,3.48,4,15,0,0,0,0
71,Chesterfield,113057,14,7,12.38,6.19,7,14,0,0,4,4
72,Chelmsford,111511,129,75,115.68,67.26,75,129,0,0,8,13
73,Basingstoke,107642,184,174,170.94,161.65,174,184,0,0,52,52
74,Maidstone,107627,111,98,103.13,91.06,98,111,0,0,18,19
75,Bedford,106940,88,51,82.29,47.69,51,88,0,0,8,9
76,Worcester,101659,18,7,17.71,6.89,7,18,0,0,1,1
