city_rank,city_name,osm_type,osm_id,lat,lon,kind,leisure,sport,club,access,name,operator,tennis_courts_tag,surface,in_park,park_name,in_park,park_name
1,Greater London,node,6369893182,51.473175,-0.2152334,sports_centre,sports_centre,tennis,,,Bishops Park Tennis Centre,,,,1,Bishop's Park,1,Bishop's Park
1,Greater London,node,6525008515,51.5287271,-0.1744813,sports_centre,sports_centre,tennis,sport,,,,,,0,,0,
1,Greater London,node,6566010913,51.3961415,-0.2261022,sports_centre,sports_centre,tennis,,,All England Club Community Sports Ground,,,,0,,0,
1,Greater London,node,7368055523,51.4947972,-0.2578367,sports_centre,sports_centre,soccer;tennis;netball;padel,,,Rocks Lane Chiswick,,,,1,Chiswick Back Common,1,Chiswick Back Common
1,Greater London,node,9434227144,51.5897324,-0.2306034,court,pitch,tennis,,,Real Tennis Court,,,,0,,0,
1,Greater London,node,11780254990,51.5031988,-0.1732562,sports_centre,sports_centre,bowls;netball;padel;soccer;table_tennis;tennis,,,The Courts at Hyde Park,,,,1,Hyde Park,1,Hyde Park
1,Greater London,node,13585201949,51.5257366,-0.1535773,sports_centre,sports_centre,tennis,,,The Courts at The Regent's Park,,,,1,The Regent's Park,1,The Regent's Park
1,Greater London,way,3794047,51.4669057,-0.2277234,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4075881,51.4270756,-0.0133193,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4076765,51.4199173,-0.0370509,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4251005,51.5293439,-0.3094491,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4254146,51.4574186,-0.3744749,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4260005,51.4978208,-0.1160694,court,pitch,tennis,,yes,,,,tartan,1,Archbishop's Park,1,Archbishop's Park
1,Greater London,way,4263129,51.5924565,0.0602166,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4263419,51.5830095,0.118625,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4365471,51.4617605,-0.2249002,sports_centre,sports_centre,tennis,sport,,Putney Lawn Tennis Club,,,,0,,0,
1,Greater London,way,4437823,51.4475201,-0.1772543,sports_centre,sports_centre,tennis,,,Magdalen Park Lawn Tennis Club,,,,0,,0,
1,Greater London,way,4566326,51.5250542,-0.053326,court,pitch,tennis,,,,Tower Hamlets Tennis,,paved,1,Bethnal Green Gardens,1,Bethnal Green Gardens
1,Greater London,way,4808837,51.5555422,-0.3446611,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4808840,51.5558829,-0.3445318,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4808841,51.5563423,-0.3443824,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4857779,51.549488,-0.3308642,court,pitch,tennis,,,,,,,1,Horsenden Hill Open Space,1,Horsenden Hill Open Space
1,Greater London,way,4940726,51.5125533,-0.3433647,court,pitch,tennis,,,,,,grass,0,,0,
1,Greater London,way,4940789,51.5128309,-0.3429644,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4941298,51.4437645,-0.3181656,court,pitch,tennis,,,,,,,1,King George's Field,1,King George's Field
1,Greater London,way,4946717,51.4440444,-0.0875155,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4946722,51.4444407,-0.0873431,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,4960831,51.4211689,-0.069765,court,pitch,tennis,,,,,,asphalt,1,Crystal Palace Park,1,Crystal Palace Park
